 ,Area,Mean,Min,Max
865,0.002,255,255,255
866,0.002,255,255,255
867,0.001,255,255,255
868,0.001,255,255,255
869,0.002,255,255,255
870,0.002,255,255,255
871,0.002,255,255,255
872,0.002,255,255,255
873,0.002,255,255,255
874,0.001,255,255,255
875,0.001,255,255,255
876,0.001,255,255,255
877,0.001,255,255,255
878,0.001,255,255,255
879,0.002,255,255,255
880,0.001,255,255,255
881,0.004,255,255,255
882,0.002,255,255,255
883,0.001,255,255,255
884,0.002,255,255,255
885,0.002,255,255,255
886,0.003,255,255,255
887,0.002,255,255,255
888,0.002,255,255,255
889,0.002,255,255,255
890,0.002,255,255,255
891,0.002,255,255,255
892,0.004,255,255,255
893,0.003,255,255,255
894,0.001,255,255,255
895,0.002,255,255,255
896,0.003,255,255,255
897,0.001,255,255,255
898,0.003,255,255,255
899,0.002,255,255,255
900,0.002,255,255,255
901,0.002,255,255,255
902,0.002,255,255,255
903,0.002,255,255,255
904,0.001,255,255,255
905,0.003,255,255,255
906,0.002,255,255,255
907,0.002,255,255,255
908,0.002,255,255,255
909,0.001,255,255,255
910,0.002,255,255,255
911,0.002,255,255,255
912,0.002,255,255,255
913,0.002,255,255,255
914,0.002,255,255,255
915,0.001,255,255,255
916,0.002,255,255,255
917,0.002,255,255,255
918,0.001,255,255,255
919,0.001,255,255,255
920,0.002,255,255,255
921,0.001,255,255,255
922,0.002,255,255,255
923,0.002,255,255,255
924,0.002,255,255,255
925,0.002,255,255,255
926,0.001,255,255,255
927,0.001,255,255,255
928,0.001,255,255,255
929,0.001,255,255,255
930,0.002,255,255,255
931,0.001,255,255,255
932,0.004,255,255,255
933,0.002,255,255,255
934,0.002,255,255,255
935,0.002,255,255,255
936,0.002,255,255,255
937,0.003,255,255,255
938,0.002,255,255,255
939,0.002,255,255,255
940,0.002,255,255,255
941,0.002,255,255,255
942,0.002,255,255,255
943,0.001,255,255,255
944,0.004,255,255,255
945,0.003,255,255,255
946,0.003,255,255,255
947,0.003,255,255,255
948,0.003,255,255,255
949,0.002,255,255,255
950,0.002,255,255,255
951,0.002,255,255,255
952,0.002,255,255,255
953,0.003,255,255,255
954,0.001,255,255,255
955,0.001,255,255,255
956,0.003,255,255,255
957,0.002,255,255,255
958,0.002,255,255,255
959,0.002,255,255,255
960,0.002,255,255,255
961,0.002,255,255,255
962,0.002,255,255,255
963,0.003,255,255,255
964,0.002,255,255,255
965,0.002,255,255,255
966,0.002,255,255,255
967,0.001,255,255,255
968,0.002,255,255,255
969,0.002,255,255,255
970,0.001,255,255,255
971,0.001,255,255,255
972,0.002,255,255,255
973,0.001,255,255,255
974,0.002,255,255,255
975,0.002,255,255,255
976,0.002,255,255,255
977,0.002,255,255,255
978,0.001,255,255,255
979,0.001,255,255,255
980,0.002,255,255,255
981,0.001,255,255,255
982,0.002,255,255,255
983,0.001,255,255,255
984,0.004,255,255,255
985,0.002,255,255,255
986,0.002,255,255,255
987,0.002,255,255,255
988,0.002,255,255,255
989,0.003,255,255,255
990,0.003,255,255,255
991,0.002,255,255,255
992,0.002,255,255,255
993,0.002,255,255,255
994,0.002,255,255,255
995,0.001,255,255,255
996,0.004,255,255,255
997,0.003,255,255,255
998,0.003,255,255,255
999,0.002,255,255,255
1000,0.003,255,255,255
1001,0.002,255,255,255
1002,0.002,255,255,255
1003,0.002,255,255,255
1004,0.002,255,255,255
1005,0.003,255,255,255
1006,0.001,255,255,255
1007,0.003,255,255,255
1008,0.002,255,255,255
1009,0.002,255,255,255
1010,0.001,255,255,255
1011,0.002,255,255,255
1012,0.002,255,255,255
1013,0.002,255,255,255
1014,0.002,255,255,255
1015,0.002,255,255,255
1016,0.002,255,255,255
1017,0.001,255,255,255
1018,0.002,255,255,255
1019,0.002,255,255,255
1020,0.001,255,255,255
1021,0.002,255,255,255
1022,0.002,255,255,255
1023,0.001,255,255,255
1024,0.002,255,255,255
1025,0.002,255,255,255
1026,0.002,255,255,255
1027,0.002,255,255,255
1028,0.001,255,255,255
1029,0.002,255,255,255
1030,0.001,255,255,255
1031,0.001,255,255,255
1032,0.001,255,255,255
1033,0.004,255,255,255
1034,0.002,255,255,255
1035,0.002,255,255,255
1036,0.002,255,255,255
1037,0.002,255,255,255
1038,0.003,255,255,255
1039,0.003,255,255,255
1040,0.002,255,255,255
1041,0.001,255,255,255
1042,0.002,255,255,255
1043,0.002,255,255,255
1044,0.003,255,255,255
1045,0.002,255,255,255
1046,0.004,255,255,255
1047,0.003,255,255,255
1048,0.003,255,255,255
1049,0.003,255,255,255
1050,0.003,255,255,255
1051,0.002,255,255,255
1052,0.002,255,255,255
1053,0.002,255,255,255
1054,0.002,255,255,255
1055,0.003,255,255,255
1056,0.001,255,255,255
1057,0.001,255,255,255
1058,0.003,255,255,255
1059,0.002,255,255,255
1060,0.002,255,255,255
1061,0.002,255,255,255
1062,0.002,255,255,255
1063,0.002,255,255,255
1064,0.002,255,255,255
1065,0.003,255,255,255
1066,0.002,255,255,255
1067,0.002,255,255,255
1068,0.002,255,255,255
1069,0.001,255,255,255
1070,0.002,255,255,255
1071,0.002,255,255,255
1072,0.001,255,255,255
1073,0.002,255,255,255
1074,0.002,255,255,255
1075,0.001,255,255,255
1076,0.002,255,255,255
1077,0.002,255,255,255
1078,0.003,255,255,255
1079,0.002,255,255,255
1080,0.001,255,255,255
1081,0.001,255,255,255
1082,0.002,255,255,255
1083,0.001,255,255,255
1084,0.002,255,255,255
1085,0.002,255,255,255
1086,0.004,255,255,255
1087,0.002,255,255,255
1088,0.002,255,255,255
1089,0.002,255,255,255
1090,0.002,255,255,255
1091,0.003,255,255,255
1092,0.003,255,255,255
1093,0.002,255,255,255
1094,0.001,255,255,255
1095,0.002,255,255,255
1096,0.002,255,255,255
1097,0.002,255,255,255
1098,0.003,255,255,255
1099,0.002,255,255,255
1100,0.004,255,255,255
1101,0.003,255,255,255
1102,0.003,255,255,255
1103,0.003,255,255,255
1104,0.002,255,255,255
1105,0.002,255,255,255
1106,0.002,255,255,255
1107,0.002,255,255,255
1108,0.003,255,255,255
1109,0.001,255,255,255
1110,0.001,255,255,255
1111,0.003,255,255,255
1112,0.002,255,255,255
1113,0.002,255,255,255
1114,0.002,255,255,255
1115,0.002,255,255,255
1116,0.002,255,255,255
1117,0.001,255,255,255
1118,0.002,255,255,255
1119,0.002,255,255,255
1120,0.002,255,255,255
1121,0.002,255,255,255
1122,0.001,255,255,255
1123,0.002,255,255,255
1124,0.002,255,255,255
1125,0.002,255,255,255
1126,0.001,255,255,255
1127,0.002,255,255,255
1128,0.002,255,255,255
1129,0.001,255,255,255
1130,0.002,255,255,255
1131,0.002,255,255,255
1132,0.002,255,255,255
1133,0.002,255,255,255
1134,0.001,255,255,255
1135,0.002,255,255,255
1136,0.002,255,255,255
1137,0.002,255,255,255
1138,0.002,255,255,255
1139,0.004,255,255,255
1140,0.002,255,255,255
1141,0.002,255,255,255
1142,0.002,255,255,255
1143,0.002,255,255,255
1144,0.003,255,255,255
1145,0.003,255,255,255
1146,0.002,255,255,255
